,0
0,0.0
1,7.7048776e-07
2,3.7845896e-06
3,8.7017725e-06
4,1.5021758e-05
5,2.0976555e-05
6,2.3402477e-05
7,2.2765777e-05
8,2.2807331e-05
9,2.4066027e-05
10,2.5221208e-05
11,3.147434e-05
12,3.7662747e-05
13,3.554066e-05
14,3.1415446e-05
15,3.65541e-05
16,5.767714e-05
17,7.86252e-05
18,8.187878e-05
19,8.6401975e-05
20,9.9041914e-05
21,7.8458164e-05
22,3.040085e-05
23,-2.688203e-06
24,-3.6543337e-05
25,-9.064998e-05
26,-0.00014615979
27,-0.00019405397
28,-0.00026837684
29,-0.0003791687
30,-0.0004645823
31,-0.00047582845
32,-0.0004269613
33,-0.00033382417
34,-0.0002138138
35,-0.00010824122
36,-6.820468e-06
37,0.00012537585
38,0.00029509334
39,0.0004729651
40,0.00060640933
41,0.00070702826
42,0.000796135
43,0.0008898376
44,0.001037508
45,0.0012318109
46,0.0014472434
47,0.001684636
48,0.0019099873
49,0.0020551477
50,0.0021548935
51,0.0022718466
52,0.0023605623
53,0.002420222
54,0.002465563
55,0.0024433103
56,0.0023646369
57,0.002282464
58,0.002166636
59,0.0020155832
60,0.0018917824
61,0.0017839592
62,0.0016849966
63,0.0016531629
64,0.0016483048
65,0.0015927482
66,0.0015071066
67,0.0014194292
68,0.0013307382
69,0.0012772225
70,0.00129648
71,0.0013503789
72,0.0014288615
73,0.0015510133
74,0.0016671106
75,0.0017933254
76,0.0019868165
77,0.0021854183
78,0.0022983288
79,0.0022928622
80,0.0021518972
81,0.0019340984
82,0.001769309
83,0.0016348021
84,0.0014666669
85,0.0013674167
86,0.0014047746
87,0.0015422236
88,0.0017402675
89,0.0019028962
90,0.0018913054
91,0.001752107
92,0.0017123263
93,0.0018508831
94,0.0020596643
95,0.0021965853
96,0.0022118972
97,0.0022357663
98,0.0023405575
99,0.002473944
100,0.0026247532
101,0.002790813
102,0.0028911238
103,0.0028800927
104,0.002791534
105,0.0027095673
106,0.0026039828
107,0.0023687507
108,0.0021371103
109,0.0020716037
110,0.0022157514
111,0.0024428791
112,0.0026483324
113,0.002952509
114,0.0033212048
115,0.0035345755
116,0.0035565826
117,0.0034741103
118,0.0033683106
119,0.0033405006
120,0.0033342245
121,0.0032713364
122,0.0033070743
123,0.003401137
124,0.0034252591
125,0.003540592
126,0.003685614
127,0.0036302058
128,0.0033492586
129,0.0029933692
130,0.0026828612
131,0.0023296478
132,0.0018833627
133,0.0014900186
134,0.0012447579
135,0.0010320934
136,0.0007999926
137,0.0006472643
138,0.00062364736
139,0.0006346644
140,0.0004953216
141,0.00026696484
142,0.000118290765
143,4.836948e-05
144,5.138429e-05
145,9.684941e-05
146,0.00010997817
147,8.126811e-05
148,8.994114e-05
149,7.13761e-05
150,-0.00010325248
151,-0.00043215492
152,-0.00094821124
153,-0.0015023851
154,-0.0019382332
155,-0.0023997326
156,-0.002854957
157,-0.0031309412
158,-0.0033329334
159,-0.003544961
160,-0.003633912
161,-0.0034815113
162,-0.0031170137
163,-0.0027159336
164,-0.0024483367
165,-0.002278314
166,-0.0021035834
167,-0.0019102804
168,-0.0015708118
169,-0.0010485086
170,-0.00054008537
171,-0.00018738842
172,4.5771194e-05
173,0.00017207165
174,0.00019025055
175,0.00016334934
176,0.0001141229
177,4.6280184e-07
178,-0.0003423619
179,-0.0007159054
180,-0.00087888003
181,-0.0010294092
182,-0.0011353705
183,-0.0012713316
184,-0.0016033807
185,-0.0018581948
186,-0.0019413669
187,-0.001849262
188,-0.0015918774
189,-0.001517165
190,-0.001692462
191,-0.0018947272
192,-0.0020139897
193,-0.0020211285
194,-0.002007012
195,-0.0020714032
196,-0.0022867254
197,-0.0026417645
198,-0.002956955
199,-0.003203057
200,-0.0035930863
201,-0.0042251945
202,-0.0050268206
203,-0.0058180583
204,-0.006371537
205,-0.006564659
206,-0.0064378614
207,-0.0061530666
208,-0.0058411034
209,-0.0055228933
210,-0.0051145516
211,-0.004669733
212,-0.0043171933
213,-0.0040495717
214,-0.0037187634
215,-0.0031716998
216,-0.0025445113
217,-0.001930571
218,-0.0014096671
219,-0.001119774
220,-0.0009489233
221,-0.0008596702
222,-0.0008184952
223,-0.00075586577
224,-0.0008130894
225,-0.0009958786
226,-0.001298943
227,-0.0017843954
228,-0.0022131656
229,-0.0023891511
230,-0.002390986
231,-0.0023074027
232,-0.0022069924
233,-0.0021539682
234,-0.0021614002
235,-0.002278893
236,-0.0024919084
237,-0.0027973058
238,-0.0032420182
239,-0.0037608293
240,-0.004221733
241,-0.004426816
242,-0.004367121
243,-0.004291916
244,-0.0043045334
245,-0.0044187442
246,-0.0046933526
247,-0.0049228948
248,-0.0050252215
249,-0.005249167
250,-0.005534288
251,-0.0057095084
252,-0.0060371915
253,-0.006569852
254,-0.006848594
255,-0.006761822
256,-0.006480111
257,-0.005943833
258,-0.0052570333
259,-0.0046101
260,-0.0039342023
261,-0.003146303
262,-0.0022917418
263,-0.0015058264
264,-0.0007833394
265,-6.3845546e-05
266,0.00062753505
267,0.0013003731
268,0.001964558
269,0.002547093
270,0.0029036996
271,0.0029948973
272,0.0030054634
273,0.0032456806
274,0.0036923166
275,0.0041898214
276,0.0047347546
277,0.005132114
278,0.005401903
279,0.0057794843
280,0.006284253
281,0.006819623
282,0.0072153625
283,0.007346142
284,0.0072236266
285,0.0069049546
286,0.0064145722
287,0.0057867607
288,0.0049814223
289,0.004171141
290,0.0035825945
291,0.003040071
292,0.0025845976
293,0.0021304248
294,0.0013858859
295,0.00051658327
296,-0.00035379306
297,-0.0010963924
298,-0.0016307501
299,-0.0022296042
300,-0.003005769
301,-0.004002496
302,-0.005200327
303,-0.006159564
304,-0.006527891
305,-0.0065660416
306,-0.0067197056
307,-0.0070329984
308,-0.0074688597
309,-0.007991057
310,-0.008313058
311,-0.008430114
312,-0.008613981
313,-0.008872447
314,-0.009104375
315,-0.009222397
316,-0.009092807
317,-0.008654912
318,-0.008086898
319,-0.007493855
320,-0.006831728
321,-0.006157523
322,-0.0055336286
323,-0.0053058695
324,-0.005447111
325,-0.0055491515
326,-0.005651866
327,-0.005889519
328,-0.006139694
329,-0.005997267
330,-0.0055342442
331,-0.0052352767
332,-0.005029316
333,-0.004633179
334,-0.0041543953
335,-0.0038022718
336,-0.0035170473
337,-0.0031590424
338,-0.0028061934
339,-0.0025088228
340,-0.002033389
341,-0.0011566493
342,-0.00021643362
343,0.0004121442
344,0.0008525333
345,0.0011243456
346,0.0011072768
347,0.0008951919
348,0.00080561306
349,0.0008825057
350,0.0010553685
351,0.0013490334
352,0.0016996023
353,0.002193673
354,0.0029179133
355,0.0038214098
356,0.004771999
357,0.0054216143
358,0.0054057473
359,0.0048834076
360,0.0044285804
361,0.0042446787
362,0.004075217
363,0.003759299
364,0.0033373723
365,0.0027732817
366,0.0019707864
367,0.0011005201
368,0.0003301898
369,-0.00045571284
370,-0.0013564894
371,-0.002145336
372,-0.0025384095
373,-0.0026410595
374,-0.0028532103
375,-0.0032870614
376,-0.0037463615
377,-0.0040181843
378,-0.0038337198
379,-0.003359977
380,-0.0029782038
381,-0.0027715575
382,-0.002564267
383,-0.0019767697
384,-0.0009051952
385,0.000224349
386,0.0009691945
387,0.0013563391
388,0.0016910827
389,0.002140633
390,0.0027543828
391,0.0035797637
392,0.0045200433
393,0.0053973007
394,0.0061367243
395,0.0067664417
396,0.0073239426
397,0.007886481
398,0.0082821045
399,0.00825624
400,0.008175478
401,0.008409676
402,0.008601885
