,0
0,3669985.5
1,3669880.0
2,3669682.0
3,3669163.5
4,3668538.5
5,3667715.2
6,3666549.5
7,3659935.8
8,3667978.5
9,3654308.8
10,3651085.8
11,3648073.5
12,3643149.0
13,3641968.0
14,3640869.2
15,3626815.2
16,3620363.5
17,3609232.2
18,3624595.2
19,3595938.0
20,3600936.0
21,3576331.2
22,3559505.2
23,3549940.5
24,3540387.2
25,3521788.8
26,3501256.2
27,3488118.8
28,3469033.0
29,3446936.8
30,3420965.5
31,3402033.2
32,3383409.2
33,3353669.5
34,3329035.5
35,3305926.2
36,3275047.2
37,3247222.2
38,3218182.2
39,3180273.0
40,3159959.8
41,3112785.8
42,3084017.2
43,3044570.2
44,3007640.8
45,2969126.5
46,2933560.8
47,2894684.8
48,2852107.8
49,2814173.0
50,2773383.5
51,2732505.0
52,2692934.0
53,2647368.5
54,2607821.0
55,2567383.2
56,2531139.5
57,2478555.2
58,2432896.2
59,2406717.2
60,2379720.0
61,2317125.8
62,2303301.0
63,2236628.0
64,2197897.0
65,2150228.2
66,2106895.0
67,2057818.2
68,2019052.1
69,1978560.2
70,1936157.8
71,1908774.9
72,1867141.9
73,1871798.6
74,1827788.4
75,1742584.5
76,1723890.8
77,1658487.9
78,1672162.6
79,1589088.6
80,1577900.8
81,1499599.8
82,1499035.5
83,1436774.1
84,1433424.5
85,1373529.5
86,1451699.8
87,1559921.6
88,1514630.4
89,2284901.5
90,1608466.5
91,1786809.0
92,1240398.1
93,1445620.0
94,1399111.5
95,1327359.5
96,1347555.5
97,1298214.2
98,1175476.6
99,1148612.8
100,1098666.2
101,1053917.6
102,1000682.5
103,966594.7
104,927136.7
105,900483.0
106,872136.25
107,832462.1
108,833252.6
109,795611.8
110,778723.2
111,744054.5
112,731023.5
113,705901.1
114,696119.75
115,662274.06
116,644117.44
117,639865.0
118,600828.2
119,626907.44
120,596902.56
121,588968.8
122,558036.75
123,571067.1
124,527496.8
125,521316.66
126,491949.0
127,487919.1
128,458631.88
129,452891.97
130,431152.28
131,430656.66
132,404583.62
133,398158.75
134,380080.38
135,372584.47
136,356767.06
137,348011.44
138,340959.4
139,326990.28
140,322838.66
141,304644.72
142,301633.62
143,289993.66
144,283115.88
145,275151.25
146,266163.0
147,261376.02
148,250990.02
149,247208.38
150,237803.31
151,233663.56
152,226619.38
153,221550.61
154,219629.02
155,214228.06
156,223557.64
157,222069.5
158,222314.48
159,198588.22
160,192332.78
161,198907.56
162,183606.69
163,176199.1
164,179540.27
165,170183.83
166,163355.06
167,164295.4
168,158976.89
169,152966.53
170,149574.52
171,150053.23
172,146022.03
