,0
0,158865.7
1,158799.12
2,158610.14
3,158350.75
4,158068.1
5,157738.3
6,157343.86
7,156878.52
8,156343.44
9,155739.2
10,155069.95
11,154343.56
12,153571.61
13,152771.97
14,151964.14
15,151172.84
16,150423.92
17,149747.66
18,149660.89
19,149134.78
20,148936.98
21,148601.4
22,148526.92
23,148487.25
24,148373.56
25,148686.92
26,148782.22
27,148899.56
28,148662.31
29,148799.14
30,149055.08
31,148810.61
32,149194.03
33,148947.4
34,148737.97
35,148570.9
36,148448.7
37,152327.83
38,149202.89
39,149281.34
40,151878.28
41,151302.27
42,151434.08
43,150449.9
44,149889.98
45,146345.34
46,147053.7
47,150660.67
48,150841.33
49,148730.44
50,147461.34
51,144513.64
52,138293.36
53,130036.63
54,123014.88
55,140149.06
56,139246.9
57,153549.08
58,192980.03
59,181963.03
60,159578.42
61,150275.38
62,148337.53
63,148225.31
64,147462.02
65,147614.55
66,147382.25
67,146295.84
68,148073.2
69,146371.88
70,145348.55
71,142758.53
72,147067.6
73,145815.78
74,143920.84
75,143517.08
76,143269.0
77,139842.31
78,139810.9
79,137195.05
80,142852.53
81,148034.75
82,146676.7
83,154645.23
84,147428.36
85,157083.55
86,148480.45
87,149400.72
88,150284.88
89,150981.02
90,151508.48
91,151830.73
92,151931.34
93,151816.53
94,151485.95
95,150936.92
96,150403.58
97,150128.61
98,150078.38
99,150181.89
