,0
0,75006.734
1,75007.93
2,75009.28
3,75010.63
4,75008.62
5,74957.74
6,74528.89
7,74280.84
8,73967.0
9,73529.836
10,72985.81
11,72261.65
12,71392.17
13,70403.58
14,68957.44
15,67886.984
16,66043.26
17,64598.594
18,62820.13
19,61025.36
20,59315.035
21,57100.836
22,59290.336
23,54760.516
24,50968.117
25,59543.207
26,48658.383
27,50712.598
28,43901.074
29,42565.0
30,41207.44
31,36574.07
32,34639.39
33,34274.598
34,29227.883
35,28213.732
36,24487.52
37,22497.955
38,22008.81
39,19406.443
40,18847.18
41,16709.334
42,15785.095
43,36246.58
44,24081.08
45,16600.936
46,13205.304
47,10997.137
48,10232.056
49,9240.938
50,8486.573
51,9740.881
52,9371.561
53,10428.74
54,6729.808
55,6090.552
56,5648.5566
57,8988.465
58,5502.5845
59,6855.3022
60,7790.735
61,7210.49
62,11574.172
63,5175.1636
64,6877.7993
65,4037.022
66,4128.111
67,3015.087
68,5248.5474
69,2595.567
70,2258.5344
71,2087.0212
72,1742.6558
73,1770.2689
74,2485.6152
75,2148.5613
76,3643.818
77,5514.405
78,1671.9365
79,12219.732
80,53709.184
81,16070.581
82,4733.129
83,14742.9
84,21950.195
85,14011.438
86,20952.652
87,13704.911
88,16903.717
89,8462.911
90,7755.5864
91,7019.283
92,4253.2285
93,3893.623
94,8668.864
95,10079.085
96,5468.625
97,9112.638
98,4859.241
99,3178.792
