,0
0,143026.97
1,142933.61
2,142686.6
3,142177.06
4,141596.31
5,140929.2
6,140125.44
7,139170.19
8,138010.72
9,136624.75
10,135055.8
11,133166.58
12,131059.164
13,128884.28
14,126331.33
15,123693.73
16,120806.31
17,117917.94
18,115101.3
19,111746.63
20,108116.91
21,104502.08
22,100407.41
23,97392.79
24,94782.75
25,89739.266
26,85899.93
27,81589.65
28,77183.3
29,75161.66
30,72403.64
31,68742.86
32,63134.83
33,60297.09
34,57063.523
35,54841.64
36,51129.83
37,47099.906
38,44464.957
39,41476.79
40,37847.926
41,35109.273
42,33360.992
43,31151.068
44,28549.56
45,27715.682
46,26530.514
47,23487.215
48,22198.426
49,20215.617
50,19491.355
51,17560.5
52,16623.871
53,15579.149
54,14330.195
55,14539.179
56,13162.79
57,14597.846
58,16424.469
59,11348.0625
60,9933.785
61,10411.27
62,9025.814
63,8732.19
64,8478.498
65,7617.411
66,7791.392
67,9182.666
68,8395.854
69,6714.276
70,6495.204
71,6491.271
72,9252.008
73,10639.317
74,7002.5747
75,4291.462
76,4028.9297
77,3893.5483
78,4659.4976
79,4966.4165
80,3990.268
81,4392.5386
82,4157.243
83,5100.203
84,3676.5974
85,7051.775
86,22673.488
87,12182.133
88,5747.755
89,5754.405
90,19585.14
91,9314.777
92,9429.374
93,11424.596
94,9712.988
95,3543.679
96,6991.475
97,4891.5435
98,3894.7966
99,2208.9404
